case_id,operator_id,operator,hardware,method,status,reason,latency_us,mode
demo:matmul|ascend|profile,demo:matmul,MatMul,ascend,profile,not_connected,尚未接入实测参考,,
demo:matmul|ascend|roofline,demo:matmul,MatMul,ascend,roofline,succeeded,,522.1844736778115,roofline
demo:matmul|ascend|tilesim,demo:matmul,MatMul,ascend,tilesim,succeeded,,627.7357897236953,dsl-eng
demo:matmul|ascend|method3,demo:matmul,MatMul,ascend,method3,not_connected,尚未配置评估组件,,
demo:matmul|ascend|method4,demo:matmul,MatMul,ascend,method4,not_connected,尚未配置评估组件,,
demo:matmul|h100|profile,demo:matmul,MatMul,h100,profile,not_connected,尚未接入实测参考,,
demo:matmul|h100|roofline,demo:matmul,MatMul,h100,roofline,succeeded,,277.93519407886754,roofline
demo:matmul|h100|tilesim,demo:matmul,MatMul,h100,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|h100|method3,demo:matmul,MatMul,h100,method3,not_connected,尚未配置评估组件,,
demo:matmul|h100|method4,demo:matmul,MatMul,h100,method4,not_connected,尚未配置评估组件,,
demo:matmul|h200|profile,demo:matmul,MatMul,h200,profile,not_connected,尚未接入实测参考,,
demo:matmul|h200|roofline,demo:matmul,MatMul,h200,roofline,succeeded,,277.93519407886754,roofline
demo:matmul|h200|tilesim,demo:matmul,MatMul,h200,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|h200|method3,demo:matmul,MatMul,h200,method3,not_connected,尚未配置评估组件,,
demo:matmul|h200|method4,demo:matmul,MatMul,h200,method4,not_connected,尚未配置评估组件,,
demo:matmul|b200|profile,demo:matmul,MatMul,b200,profile,not_connected,尚未接入实测参考,,
demo:matmul|b200|roofline,demo:matmul,MatMul,b200,roofline,succeeded,,122.16795864177779,roofline
demo:matmul|b200|tilesim,demo:matmul,MatMul,b200,tilesim,unsupported,TileSim 的 GB200 配置缺少理论模式需要的 L0C → L2 带宽参数,,
demo:matmul|b200|method3,demo:matmul,MatMul,b200,method3,not_connected,尚未配置评估组件,,
demo:matmul|b200|method4,demo:matmul,MatMul,b200,method4,not_connected,尚未配置评估组件,,
demo:matmul|b300|profile,demo:matmul,MatMul,b300,profile,not_connected,尚未接入实测参考,,
demo:matmul|b300|roofline,demo:matmul,MatMul,b300,roofline,succeeded,,122.16795864177779,roofline
demo:matmul|b300|tilesim,demo:matmul,MatMul,b300,tilesim,succeeded,,144.67592592592592,dsl-theo
demo:matmul|b300|method3,demo:matmul,MatMul,b300,method3,not_connected,尚未配置评估组件,,
demo:matmul|b300|method4,demo:matmul,MatMul,b300,method4,not_connected,尚未配置评估组件,,
demo:matmul|r200|profile,demo:matmul,MatMul,r200,profile,not_connected,尚未接入实测参考,,
demo:matmul|r200|roofline,demo:matmul,MatMul,r200,roofline,succeeded,,68.719476736,roofline
demo:matmul|r200|tilesim,demo:matmul,MatMul,r200,tilesim,unsupported,TileSim 的 R200 配置缺少理论模式需要的 L0C → L2 带宽参数,,
demo:matmul|r200|method3,demo:matmul,MatMul,r200,method3,not_connected,尚未配置评估组件,,
demo:matmul|r200|method4,demo:matmul,MatMul,r200,method4,not_connected,尚未配置评估组件,,
